CustomerOrderNumber|CustomerOrderLineNumber|SiteCode|ItemCode|EstimatedDeliveryDate|OrderedQuantity|OrderLineStatusIndicator|IBTDestinationSiteCode|OutstandingQuantity
CO_CLOTH01_20240411_STORE_001_0021|1|STORE_001|ITM_BAS_0001|2024-04-11 00:00:00|14|Placed||14
CO_CLOTH01_20240411_STORE_001_0021|2|STORE_001|ITM_BAS_0002|2024-04-11 00:00:00|10|Placed||10
CO_CLOTH01_20240411_STORE_001_0021|3|STORE_001|ITM_TOP_0003|2024-04-11 00:00:00|8|Placed||8
CO_CLOTH01_20240411_STORE_001_0021|4|STORE_001|ITM_TOP_0004|2024-04-11 00:00:00|3|Placed||3
CO_CLOTH01_20240411_STORE_001_0021|5|STORE_001|ITM_BOT_0005|2024-04-11 00:00:00|5|Placed||5
CO_CLOTH01_20240411_STORE_002_0022|1|STORE_002|ITM_BAS_0001|2024-04-11 00:00:00|10|Placed||10
CO_CLOTH01_20240411_STORE_002_0022|2|STORE_002|ITM_BAS_0002|2024-04-11 00:00:00|16|Placed||16
CO_CLOTH01_20240411_STORE_002_0022|3|STORE_002|ITM_TOP_0003|2024-04-11 00:00:00|6|Placed||6
CO_CLOTH01_20240411_STORE_002_0022|4|STORE_002|ITM_TOP_0004|2024-04-11 00:00:00|3|Placed||3
CO_CLOTH01_20240411_STORE_002_0022|5|STORE_002|ITM_BOT_0005|2024-04-11 00:00:00|1|Placed||1
CO_CLOTH01_20240412_STORE_001_0023|1|STORE_001|ITM_BAS_0001|2024-04-12 00:00:00|16|Placed||16
CO_CLOTH01_20240412_STORE_001_0023|2|STORE_001|ITM_BAS_0002|2024-04-12 00:00:00|23|Placed||23
CO_CLOTH01_20240412_STORE_001_0023|3|STORE_001|ITM_TOP_0003|2024-04-12 00:00:00|7|Placed||7
CO_CLOTH01_20240412_STORE_001_0023|4|STORE_001|ITM_TOP_0004|2024-04-12 00:00:00|3|Placed||3
CO_CLOTH01_20240412_STORE_001_0023|5|STORE_001|ITM_BOT_0005|2024-04-12 00:00:00|3|Placed||3
CO_CLOTH01_20240412_STORE_002_0024|1|STORE_002|ITM_BAS_0001|2024-04-12 00:00:00|12|Placed||12
CO_CLOTH01_20240412_STORE_002_0024|2|STORE_002|ITM_BAS_0002|2024-04-12 00:00:00|18|Placed||18
CO_CLOTH01_20240412_STORE_002_0024|3|STORE_002|ITM_TOP_0003|2024-04-12 00:00:00|11|Placed||11
CO_CLOTH01_20240412_STORE_002_0024|4|STORE_002|ITM_TOP_0004|2024-04-12 00:00:00|5|Placed||5
CO_CLOTH01_20240412_STORE_002_0024|5|STORE_002|ITM_BOT_0005|2024-04-12 00:00:00|5|Placed||5
CO_CLOTH01_20240413_STORE_001_0025|1|STORE_001|ITM_BAS_0001|2024-04-13 00:00:00|12|Placed||12
CO_CLOTH01_20240413_STORE_001_0025|2|STORE_001|ITM_BAS_0002|2024-04-13 00:00:00|22|Placed||22
CO_CLOTH01_20240413_STORE_001_0025|3|STORE_001|ITM_TOP_0003|2024-04-13 00:00:00|7|Placed||7
CO_CLOTH01_20240413_STORE_001_0025|4|STORE_001|ITM_TOP_0004|2024-04-13 00:00:00|2|Placed||2
CO_CLOTH01_20240413_STORE_001_0025|5|STORE_001|ITM_BOT_0005|2024-04-13 00:00:00|5|Placed||5
CO_CLOTH01_20240413_STORE_002_0026|1|STORE_002|ITM_BAS_0001|2024-04-13 00:00:00|17|Placed||17
CO_CLOTH01_20240413_STORE_002_0026|2|STORE_002|ITM_BAS_0002|2024-04-13 00:00:00|30|Placed||30
CO_CLOTH01_20240413_STORE_002_0026|3|STORE_002|ITM_TOP_0003|2024-04-13 00:00:00|5|Placed||5
CO_CLOTH01_20240413_STORE_002_0026|4|STORE_002|ITM_TOP_0004|2024-04-13 00:00:00|3|Placed||3
CO_CLOTH01_20240413_STORE_002_0026|5|STORE_002|ITM_BOT_0005|2024-04-13 00:00:00|3|Placed||3
CO_CLOTH01_20240414_STORE_001_0027|1|STORE_001|ITM_BAS_0001|2024-04-14 00:00:00|13|Placed||13
CO_CLOTH01_20240414_STORE_001_0027|2|STORE_001|ITM_BAS_0002|2024-04-14 00:00:00|6|Placed||6
CO_CLOTH01_20240414_STORE_001_0027|3|STORE_001|ITM_TOP_0003|2024-04-14 00:00:00|5|Placed||5
CO_CLOTH01_20240414_STORE_001_0027|4|STORE_001|ITM_TOP_0004|2024-04-14 00:00:00|5|Placed||5
CO_CLOTH01_20240414_STORE_001_0027|5|STORE_001|ITM_BOT_0005|2024-04-14 00:00:00|3|Placed||3
CO_CLOTH01_20240414_STORE_002_0028|1|STORE_002|ITM_BAS_0001|2024-04-14 00:00:00|10|Placed||10
CO_CLOTH01_20240414_STORE_002_0028|2|STORE_002|ITM_BAS_0002|2024-04-14 00:00:00|14|Placed||14
CO_CLOTH01_20240414_STORE_002_0028|3|STORE_002|ITM_TOP_0003|2024-04-14 00:00:00|7|Placed||7
CO_CLOTH01_20240414_STORE_002_0028|4|STORE_002|ITM_TOP_0004|2024-04-14 00:00:00|3|Placed||3
CO_CLOTH01_20240414_STORE_002_0028|5|STORE_002|ITM_BOT_0005|2024-04-14 00:00:00|2|Placed||2
CO_CLOTH01_20240415_STORE_001_0029|1|STORE_001|ITM_BAS_0001|2024-04-15 00:00:00|13|Placed||13
CO_CLOTH01_20240415_STORE_001_0029|2|STORE_001|ITM_BAS_0002|2024-04-15 00:00:00|14|Placed||14
CO_CLOTH01_20240415_STORE_001_0029|3|STORE_001|ITM_TOP_0003|2024-04-15 00:00:00|7|Placed||7
CO_CLOTH01_20240415_STORE_001_0029|4|STORE_001|ITM_TOP_0004|2024-04-15 00:00:00|2|Placed||2
CO_CLOTH01_20240415_STORE_001_0029|5|STORE_001|ITM_BOT_0005|2024-04-15 00:00:00|5|Placed||5
CO_CLOTH01_20240415_STORE_002_0030|1|STORE_002|ITM_BAS_0001|2024-04-15 00:00:00|16|Placed||16
CO_CLOTH01_20240415_STORE_002_0030|2|STORE_002|ITM_BAS_0002|2024-04-15 00:00:00|17|Placed||17
CO_CLOTH01_20240415_STORE_002_0030|3|STORE_002|ITM_TOP_0003|2024-04-15 00:00:00|7|Placed||7
CO_CLOTH01_20240415_STORE_002_0030|4|STORE_002|ITM_TOP_0004|2024-04-15 00:00:00|1|Placed||1
CO_CLOTH01_20240415_STORE_002_0030|5|STORE_002|ITM_BOT_0005|2024-04-15 00:00:00|2|Placed||2
CO_CLOTH01_20240416_STORE_001_0031|1|STORE_001|ITM_BAS_0001|2024-04-16 00:00:00|7|Placed||7
CO_CLOTH01_20240416_STORE_001_0031|2|STORE_001|ITM_BAS_0002|2024-04-16 00:00:00|14|Placed||14
CO_CLOTH01_20240416_STORE_001_0031|3|STORE_001|ITM_TOP_0003|2024-04-16 00:00:00|6|Placed||6
CO_CLOTH01_20240416_STORE_001_0031|4|STORE_001|ITM_TOP_0004|2024-04-16 00:00:00|1|Placed||1
CO_CLOTH01_20240416_STORE_001_0031|5|STORE_001|ITM_BOT_0005|2024-04-16 00:00:00|3|Placed||3
CO_CLOTH01_20240416_STORE_002_0032|1|STORE_002|ITM_BAS_0001|2024-04-16 00:00:00|21|Placed||21
CO_CLOTH01_20240416_STORE_002_0032|2|STORE_002|ITM_BAS_0002|2024-04-16 00:00:00|19|Placed||19
CO_CLOTH01_20240416_STORE_002_0032|3|STORE_002|ITM_TOP_0003|2024-04-16 00:00:00|11|Placed||11
CO_CLOTH01_20240416_STORE_002_0032|4|STORE_002|ITM_TOP_0004|2024-04-16 00:00:00|2|Placed||2
CO_CLOTH01_20240416_STORE_002_0032|5|STORE_002|ITM_BOT_0005|2024-04-16 00:00:00|2|Placed||2
CO_CLOTH01_20240417_STORE_001_0033|1|STORE_001|ITM_BAS_0001|2024-04-17 00:00:00|7|Placed||7
CO_CLOTH01_20240417_STORE_001_0033|2|STORE_001|ITM_BAS_0002|2024-04-17 00:00:00|10|Placed||10
CO_CLOTH01_20240417_STORE_001_0033|3|STORE_001|ITM_TOP_0003|2024-04-17 00:00:00|7|Placed||7
CO_CLOTH01_20240417_STORE_001_0033|4|STORE_001|ITM_TOP_0004|2024-04-17 00:00:00|3|Placed||3
CO_CLOTH01_20240417_STORE_001_0033|5|STORE_001|ITM_BOT_0005|2024-04-17 00:00:00|2|Placed||2
CO_CLOTH01_20240417_STORE_002_0034|1|STORE_002|ITM_BAS_0001|2024-04-17 00:00:00|12|Placed||12
CO_CLOTH01_20240417_STORE_002_0034|2|STORE_002|ITM_BAS_0002|2024-04-17 00:00:00|10|Placed||10
CO_CLOTH01_20240417_STORE_002_0034|3|STORE_002|ITM_TOP_0003|2024-04-17 00:00:00|5|Placed||5
CO_CLOTH01_20240417_STORE_002_0034|4|STORE_002|ITM_TOP_0004|2024-04-17 00:00:00|2|Placed||2
CO_CLOTH01_20240417_STORE_002_0034|5|STORE_002|ITM_BOT_0005|2024-04-17 00:00:00|5|Placed||5
CO_CLOTH01_20240418_STORE_001_0035|1|STORE_001|ITM_BAS_0001|2024-04-18 00:00:00|19|Placed||19
CO_CLOTH01_20240418_STORE_001_0035|2|STORE_001|ITM_BAS_0002|2024-04-18 00:00:00|13|Placed||13
CO_CLOTH01_20240418_STORE_001_0035|3|STORE_001|ITM_TOP_0003|2024-04-18 00:00:00|8|Placed||8
CO_CLOTH01_20240418_STORE_001_0035|4|STORE_001|ITM_TOP_0004|2024-04-18 00:00:00|2|Placed||2
CO_CLOTH01_20240418_STORE_002_0036|1|STORE_002|ITM_BAS_0001|2024-04-18 00:00:00|16|Placed||16
CO_CLOTH01_20240418_STORE_002_0036|2|STORE_002|ITM_BAS_0002|2024-04-18 00:00:00|19|Placed||19
CO_CLOTH01_20240418_STORE_002_0036|3|STORE_002|ITM_TOP_0003|2024-04-18 00:00:00|3|Placed||3
CO_CLOTH01_20240418_STORE_002_0036|4|STORE_002|ITM_TOP_0004|2024-04-18 00:00:00|3|Placed||3
CO_CLOTH01_20240418_STORE_002_0036|5|STORE_002|ITM_BOT_0005|2024-04-18 00:00:00|3|Placed||3
CO_CLOTH01_20240419_STORE_001_0037|1|STORE_001|ITM_BAS_0001|2024-04-19 00:00:00|9|Placed||9
CO_CLOTH01_20240419_STORE_001_0037|2|STORE_001|ITM_BAS_0002|2024-04-19 00:00:00|19|Placed||19
CO_CLOTH01_20240419_STORE_001_0037|3|STORE_001|ITM_TOP_0003|2024-04-19 00:00:00|9|Placed||9
CO_CLOTH01_20240419_STORE_001_0037|4|STORE_001|ITM_BOT_0005|2024-04-19 00:00:00|1|Placed||1
CO_CLOTH01_20240419_STORE_002_0038|1|STORE_002|ITM_BAS_0001|2024-04-19 00:00:00|17|Placed||17
CO_CLOTH01_20240419_STORE_002_0038|2|STORE_002|ITM_BAS_0002|2024-04-19 00:00:00|20|Placed||20
CO_CLOTH01_20240419_STORE_002_0038|3|STORE_002|ITM_TOP_0003|2024-04-19 00:00:00|14|Placed||14
CO_CLOTH01_20240419_STORE_002_0038|4|STORE_002|ITM_TOP_0004|2024-04-19 00:00:00|5|Placed||5
CO_CLOTH01_20240419_STORE_002_0038|5|STORE_002|ITM_BOT_0005|2024-04-19 00:00:00|2|Placed||2
CO_CLOTH01_20240420_STORE_001_0039|1|STORE_001|ITM_BAS_0001|2024-04-20 00:00:00|16|Placed||16
CO_CLOTH01_20240420_STORE_001_0039|2|STORE_001|ITM_BAS_0002|2024-04-20 00:00:00|19|Placed||19
CO_CLOTH01_20240420_STORE_001_0039|3|STORE_001|ITM_TOP_0003|2024-04-20 00:00:00|5|Placed||5
CO_CLOTH01_20240420_STORE_001_0039|4|STORE_001|ITM_TOP_0004|2024-04-20 00:00:00|1|Placed||1
CO_CLOTH01_20240420_STORE_001_0039|5|STORE_001|ITM_BOT_0005|2024-04-20 00:00:00|5|Placed||5
CO_CLOTH01_20240420_STORE_002_0040|1|STORE_002|ITM_BAS_0001|2024-04-20 00:00:00|17|Placed||17
CO_CLOTH01_20240420_STORE_002_0040|2|STORE_002|ITM_BAS_0002|2024-04-20 00:00:00|23|Placed||23
CO_CLOTH01_20240420_STORE_002_0040|3|STORE_002|ITM_TOP_0003|2024-04-20 00:00:00|10|Placed||10
CO_CLOTH01_20240420_STORE_002_0040|4|STORE_002|ITM_TOP_0004|2024-04-20 00:00:00|1|Placed||1
CO_CLOTH01_20240420_STORE_002_0040|5|STORE_002|ITM_BOT_0005|2024-04-20 00:00:00|2|Placed||2
CO_CLOTH01_20240421_STORE_001_0041|1|STORE_001|ITM_BAS_0001|2024-04-21 00:00:00|8|Placed||8
CO_CLOTH01_20240421_STORE_001_0041|2|STORE_001|ITM_BAS_0002|2024-04-21 00:00:00|13|Placed||13
CO_CLOTH01_20240421_STORE_001_0041|3|STORE_001|ITM_TOP_0003|2024-04-21 00:00:00|5|Placed||5
CO_CLOTH01_20240421_STORE_001_0041|4|STORE_001|ITM_TOP_0004|2024-04-21 00:00:00|1|Placed||1
CO_CLOTH01_20240421_STORE_001_0041|5|STORE_001|ITM_BOT_0005|2024-04-21 00:00:00|2|Placed||2
CO_CLOTH01_20240421_STORE_002_0042|1|STORE_002|ITM_BAS_0001|2024-04-21 00:00:00|15|Placed||15
CO_CLOTH01_20240421_STORE_002_0042|2|STORE_002|ITM_BAS_0002|2024-04-21 00:00:00|15|Placed||15
CO_CLOTH01_20240421_STORE_002_0042|3|STORE_002|ITM_TOP_0003|2024-04-21 00:00:00|8|Placed||8
CO_CLOTH01_20240421_STORE_002_0042|4|STORE_002|ITM_BOT_0005|2024-04-21 00:00:00|3|Placed||3
CO_CLOTH01_20240422_STORE_001_0043|1|STORE_001|ITM_BAS_0001|2024-04-22 00:00:00|17|Placed||17
CO_CLOTH01_20240422_STORE_001_0043|2|STORE_001|ITM_BAS_0002|2024-04-22 00:00:00|21|Placed||21
CO_CLOTH01_20240422_STORE_001_0043|3|STORE_001|ITM_TOP_0003|2024-04-22 00:00:00|9|Placed||9
CO_CLOTH01_20240422_STORE_001_0043|4|STORE_001|ITM_TOP_0004|2024-04-22 00:00:00|2|Placed||2
CO_CLOTH01_20240422_STORE_001_0043|5|STORE_001|ITM_BOT_0005|2024-04-22 00:00:00|3|Placed||3
CO_CLOTH01_20240422_STORE_002_0044|1|STORE_002|ITM_BAS_0001|2024-04-22 00:00:00|8|Placed||8
CO_CLOTH01_20240422_STORE_002_0044|2|STORE_002|ITM_BAS_0002|2024-04-22 00:00:00|12|Placed||12
CO_CLOTH01_20240422_STORE_002_0044|3|STORE_002|ITM_TOP_0003|2024-04-22 00:00:00|7|Placed||7
CO_CLOTH01_20240422_STORE_002_0044|4|STORE_002|ITM_TOP_0004|2024-04-22 00:00:00|6|Placed||6
CO_CLOTH01_20240422_STORE_002_0044|5|STORE_002|ITM_BOT_0005|2024-04-22 00:00:00|3|Placed||3
CO_CLOTH01_20240423_STORE_001_0045|1|STORE_001|ITM_BAS_0001|2024-04-23 00:00:00|14|Placed||14
CO_CLOTH01_20240423_STORE_001_0045|2|STORE_001|ITM_BAS_0002|2024-04-23 00:00:00|8|Placed||8
CO_CLOTH01_20240423_STORE_001_0045|3|STORE_001|ITM_TOP_0003|2024-04-23 00:00:00|9|Placed||9
CO_CLOTH01_20240423_STORE_001_0045|4|STORE_001|ITM_TOP_0004|2024-04-23 00:00:00|2|Placed||2
CO_CLOTH01_20240423_STORE_001_0045|5|STORE_001|ITM_BOT_0005|2024-04-23 00:00:00|5|Placed||5
CO_CLOTH01_20240423_STORE_002_0046|1|STORE_002|ITM_BAS_0001|2024-04-23 00:00:00|10|Placed||10
CO_CLOTH01_20240423_STORE_002_0046|2|STORE_002|ITM_BAS_0002|2024-04-23 00:00:00|12|Placed||12
CO_CLOTH01_20240423_STORE_002_0046|3|STORE_002|ITM_TOP_0003|2024-04-23 00:00:00|3|Placed||3
CO_CLOTH01_20240423_STORE_002_0046|4|STORE_002|ITM_TOP_0004|2024-04-23 00:00:00|2|Placed||2
