PurchaseOrderNumber|PurchaseOrderLineNumber|SiteCode|ItemCode|EstimatedReceiptDate|OrderedQuantity|OrderLineStatusIndicator|SupplierCode|CurrencyCode|IBTSiteCode|OutstandingQuantity|CostPerUnit
PO_CLOTH01_20240406_DC_01_IBT_000016|2|STORE_002|ITM_JEANS_BLUE_30|2024-04-06 00:00:00|6|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240406_DC_01_IBT_000016|3|STORE_002|ITM_JEANS_BLUE_34|2024-04-06 00:00:00|3|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240407_DC_01_IBT_000017|1|STORE_001|ITM_CHIPS_8OZ|2024-04-07 00:00:00|25|Delivered||USD|DC_01|0|8.24
PO_CLOTH01_20240407_DC_01_IBT_000017|2|STORE_001|ITM_JEANS_BLUE_30|2024-04-07 00:00:00|3|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240407_DC_01_IBT_000017|3|STORE_001|ITM_JEANS_BLUE_32|2024-04-07 00:00:00|5|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240407_DC_01_IBT_000017|4|STORE_001|ITM_JEANS_BLUE_34|2024-04-07 00:00:00|2|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240407_DC_01_IBT_000017|5|STORE_001|ITM_TEE_BASIC_M|2024-04-07 00:00:00|4|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240407_DC_01_IBT_000018|1|STORE_002|ITM_CHIPS_8OZ|2024-04-07 00:00:00|25|Delivered||USD|DC_01|0|8.24
PO_CLOTH01_20240407_DC_01_IBT_000018|2|STORE_002|ITM_JEANS_BLUE_30|2024-04-07 00:00:00|2|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240407_DC_01_IBT_000018|3|STORE_002|ITM_JEANS_BLUE_34|2024-04-07 00:00:00|5|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240408_DC_01_IBT_000019|1|STORE_001|ITM_CHIPS_8OZ|2024-04-08 00:00:00|180|Delivered||USD|DC_01|0|8.24
PO_CLOTH01_20240408_DC_01_IBT_000019|2|STORE_001|ITM_JEANS_BLUE_30|2024-04-08 00:00:00|2|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240408_DC_01_IBT_000019|3|STORE_001|ITM_JEANS_BLUE_32|2024-04-08 00:00:00|6|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240408_DC_01_IBT_000019|4|STORE_001|ITM_JEANS_BLUE_34|2024-04-08 00:00:00|4|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240408_DC_01_IBT_000019|5|STORE_001|ITM_TEE_BASIC_M|2024-04-08 00:00:00|3|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240408_DC_01_IBT_000020|1|STORE_002|ITM_CHIPS_8OZ|2024-04-08 00:00:00|177|Delivered||USD|DC_01|0|8.24
PO_CLOTH01_20240408_DC_01_IBT_000020|2|STORE_002|ITM_JEANS_BLUE_30|2024-04-08 00:00:00|8|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240408_DC_01_000021|1|DC_01|ITM_CHIPS_8OZ|2024-04-25 00:00:00|1726|Placed|SUP_001|USD||1726|8.24
PO_CLOTH01_20240408_DC_01_000022|1|DC_01|ITM_JEANS_BLUE_30|2024-04-16 00:00:00|38|Placed|SUP_002|USD||38|18.86
PO_CLOTH01_20240408_DC_01_000023|1|DC_01|ITM_JEANS_BLUE_34|2024-04-25 00:00:00|2|Placed|SUP_001|USD||2|14.87
PO_CLOTH01_20240409_DC_01_IBT_000024|1|STORE_001|ITM_JEANS_BLUE_30|2024-04-09 00:00:00|6|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240409_DC_01_IBT_000024|2|STORE_001|ITM_JEANS_BLUE_32|2024-04-09 00:00:00|2|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240409_DC_01_IBT_000024|3|STORE_001|ITM_JEANS_BLUE_34|2024-04-09 00:00:00|3|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240409_DC_01_IBT_000024|4|STORE_001|ITM_TEE_BASIC_M|2024-04-09 00:00:00|1|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240409_DC_01_IBT_000025|1|STORE_002|ITM_JEANS_BLUE_30|2024-04-09 00:00:00|7|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240409_DC_01_IBT_000025|2|STORE_002|ITM_JEANS_BLUE_32|2024-04-09 00:00:00|9|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240409_DC_01_IBT_000025|3|STORE_002|ITM_JEANS_BLUE_34|2024-04-09 00:00:00|1|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240409_DC_01_IBT_000025|4|STORE_002|ITM_TEE_BASIC_M|2024-04-09 00:00:00|2|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240410_DC_01_IBT_000026|1|STORE_001|ITM_JEANS_BLUE_30|2024-04-10 00:00:00|6|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240410_DC_01_IBT_000026|2|STORE_001|ITM_JEANS_BLUE_32|2024-04-10 00:00:00|2|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240410_DC_01_IBT_000026|3|STORE_001|ITM_JEANS_BLUE_34|2024-04-10 00:00:00|2|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240410_DC_01_IBT_000026|4|STORE_001|ITM_TEE_BASIC_M|2024-04-10 00:00:00|3|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240410_DC_01_IBT_000027|1|STORE_002|ITM_JEANS_BLUE_30|2024-04-10 00:00:00|4|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240410_DC_01_IBT_000027|2|STORE_002|ITM_JEANS_BLUE_32|2024-04-10 00:00:00|5|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240410_DC_01_IBT_000027|3|STORE_002|ITM_JEANS_BLUE_34|2024-04-10 00:00:00|1|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240410_DC_01_IBT_000027|4|STORE_002|ITM_TEE_BASIC_M|2024-04-10 00:00:00|4|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240411_DC_01_IBT_000028|1|STORE_001|ITM_JEANS_BLUE_30|2024-04-11 00:00:00|6|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240411_DC_01_IBT_000028|2|STORE_001|ITM_JEANS_BLUE_32|2024-04-11 00:00:00|2|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240411_DC_01_IBT_000028|3|STORE_001|ITM_JEANS_BLUE_34|2024-04-11 00:00:00|2|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240411_DC_01_IBT_000028|4|STORE_001|ITM_TEE_BASIC_M|2024-04-11 00:00:00|1|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240411_DC_01_IBT_000029|1|STORE_002|ITM_JEANS_BLUE_30|2024-04-11 00:00:00|9|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240411_DC_01_IBT_000029|2|STORE_002|ITM_JEANS_BLUE_32|2024-04-11 00:00:00|1|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240411_DC_01_IBT_000029|3|STORE_002|ITM_JEANS_BLUE_34|2024-04-11 00:00:00|6|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240411_DC_01_IBT_000029|4|STORE_002|ITM_TEE_BASIC_M|2024-04-11 00:00:00|4|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240412_DC_01_IBT_000030|1|STORE_001|ITM_JEANS_BLUE_30|2024-04-12 00:00:00|7|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240412_DC_01_IBT_000030|2|STORE_001|ITM_JEANS_BLUE_32|2024-04-12 00:00:00|4|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240412_DC_01_IBT_000030|3|STORE_001|ITM_JEANS_BLUE_34|2024-04-12 00:00:00|2|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240412_DC_01_IBT_000031|1|STORE_002|ITM_JEANS_BLUE_30|2024-04-12 00:00:00|11|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240412_DC_01_IBT_000031|2|STORE_002|ITM_JEANS_BLUE_32|2024-04-12 00:00:00|2|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240412_DC_01_IBT_000031|3|STORE_002|ITM_JEANS_BLUE_34|2024-04-12 00:00:00|4|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240412_DC_01_IBT_000031|4|STORE_002|ITM_TEE_BASIC_M|2024-04-12 00:00:00|2|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240413_DC_01_IBT_000032|1|STORE_001|ITM_JEANS_BLUE_30|2024-04-13 00:00:00|6|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240413_DC_01_IBT_000032|2|STORE_001|ITM_JEANS_BLUE_32|2024-04-13 00:00:00|8|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240413_DC_01_IBT_000032|3|STORE_001|ITM_TEE_BASIC_M|2024-04-13 00:00:00|2|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240413_DC_01_IBT_000033|1|STORE_002|ITM_JEANS_BLUE_30|2024-04-13 00:00:00|9|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240413_DC_01_IBT_000033|2|STORE_002|ITM_JEANS_BLUE_32|2024-04-13 00:00:00|1|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240413_DC_01_IBT_000033|3|STORE_002|ITM_JEANS_BLUE_34|2024-04-13 00:00:00|1|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240413_DC_01_IBT_000033|4|STORE_002|ITM_TEE_BASIC_M|2024-04-13 00:00:00|3|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240414_DC_01_IBT_000034|1|STORE_001|ITM_JEANS_BLUE_30|2024-04-14 00:00:00|3|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240414_DC_01_IBT_000034|2|STORE_001|ITM_JEANS_BLUE_32|2024-04-14 00:00:00|6|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240414_DC_01_IBT_000034|3|STORE_001|ITM_JEANS_BLUE_34|2024-04-14 00:00:00|1|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240414_DC_01_IBT_000034|4|STORE_001|ITM_TEE_BASIC_M|2024-04-14 00:00:00|1|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240414_DC_01_IBT_000035|1|STORE_002|ITM_JEANS_BLUE_30|2024-04-14 00:00:00|5|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240414_DC_01_IBT_000035|2|STORE_002|ITM_JEANS_BLUE_32|2024-04-14 00:00:00|2|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240414_DC_01_IBT_000035|3|STORE_002|ITM_JEANS_BLUE_34|2024-04-14 00:00:00|5|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240414_DC_01_IBT_000035|4|STORE_002|ITM_TEE_BASIC_M|2024-04-14 00:00:00|4|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240415_DC_01_IBT_000036|1|STORE_001|ITM_JEANS_BLUE_30|2024-04-15 00:00:00|5|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240415_DC_01_IBT_000036|2|STORE_001|ITM_JEANS_BLUE_32|2024-04-15 00:00:00|2|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240415_DC_01_IBT_000036|3|STORE_001|ITM_JEANS_BLUE_34|2024-04-15 00:00:00|4|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240415_DC_01_IBT_000036|4|STORE_001|ITM_TEE_BASIC_M|2024-04-15 00:00:00|2|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240415_DC_01_IBT_000037|1|STORE_002|ITM_JEANS_BLUE_30|2024-04-15 00:00:00|4|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240415_DC_01_IBT_000037|2|STORE_002|ITM_JEANS_BLUE_32|2024-04-15 00:00:00|7|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240415_DC_01_IBT_000037|3|STORE_002|ITM_JEANS_BLUE_34|2024-04-15 00:00:00|4|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240415_DC_01_IBT_000037|4|STORE_002|ITM_TEE_BASIC_M|2024-04-15 00:00:00|7|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240415_DC_01_000038|1|DC_01|ITM_JEANS_BLUE_30|2024-04-23 00:00:00|108|Placed|SUP_002|USD||108|18.86
PO_CLOTH01_20240415_DC_01_000039|1|DC_01|ITM_JEANS_BLUE_32|2024-04-22 00:00:00|34|Placed|SUP_003|USD||34|15.91
PO_CLOTH01_20240415_DC_01_000040|1|DC_01|ITM_JEANS_BLUE_34|2024-05-02 00:00:00|46|Placed|SUP_001|USD||46|14.87
PO_CLOTH01_20240415_DC_01_000041|1|DC_01|ITM_TEE_BASIC_M|2024-04-23 00:00:00|24|Placed|SUP_002|USD||24|24.49
PO_CLOTH01_20240416_DC_01_IBT_000042|1|STORE_001|ITM_JEANS_BLUE_30|2024-04-16 00:00:00|5|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240416_DC_01_IBT_000042|2|STORE_001|ITM_JEANS_BLUE_34|2024-04-16 00:00:00|2|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240416_DC_01_IBT_000043|1|STORE_002|ITM_JEANS_BLUE_30|2024-04-16 00:00:00|3|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240416_DC_01_IBT_000043|2|STORE_002|ITM_JEANS_BLUE_32|2024-04-16 00:00:00|7|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240416_DC_01_IBT_000043|3|STORE_002|ITM_TEE_BASIC_M|2024-04-16 00:00:00|5|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240417_DC_01_IBT_000044|1|STORE_001|ITM_JEANS_BLUE_30|2024-04-17 00:00:00|2|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240417_DC_01_IBT_000044|2|STORE_001|ITM_JEANS_BLUE_32|2024-04-17 00:00:00|4|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240417_DC_01_IBT_000044|3|STORE_001|ITM_TEE_BASIC_M|2024-04-17 00:00:00|1|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240417_DC_01_IBT_000045|1|STORE_002|ITM_CHIPS_8OZ|2024-04-17 00:00:00|13|Delivered||USD|DC_01|0|8.24
PO_CLOTH01_20240417_DC_01_IBT_000045|2|STORE_002|ITM_JEANS_BLUE_30|2024-04-17 00:00:00|4|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240417_DC_01_IBT_000045|3|STORE_002|ITM_JEANS_BLUE_32|2024-04-17 00:00:00|2|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240417_DC_01_IBT_000045|4|STORE_002|ITM_JEANS_BLUE_34|2024-04-17 00:00:00|5|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240417_DC_01_IBT_000045|5|STORE_002|ITM_TEE_BASIC_M|2024-04-17 00:00:00|3|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240418_DC_01_IBT_000046|1|STORE_001|ITM_JEANS_BLUE_30|2024-04-18 00:00:00|5|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240418_DC_01_IBT_000046|2|STORE_001|ITM_JEANS_BLUE_32|2024-04-18 00:00:00|7|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240418_DC_01_IBT_000046|3|STORE_001|ITM_JEANS_BLUE_34|2024-04-18 00:00:00|1|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240418_DC_01_IBT_000046|4|STORE_001|ITM_TEE_BASIC_M|2024-04-18 00:00:00|3|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240418_DC_01_IBT_000047|1|STORE_002|ITM_CHIPS_8OZ|2024-04-18 00:00:00|8|Delivered||USD|DC_01|0|8.24
PO_CLOTH01_20240418_DC_01_IBT_000047|2|STORE_002|ITM_JEANS_BLUE_30|2024-04-18 00:00:00|9|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240418_DC_01_IBT_000047|3|STORE_002|ITM_JEANS_BLUE_32|2024-04-18 00:00:00|3|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240418_DC_01_IBT_000047|4|STORE_002|ITM_JEANS_BLUE_34|2024-04-18 00:00:00|5|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240418_DC_01_IBT_000047|5|STORE_002|ITM_TEE_BASIC_M|2024-04-18 00:00:00|1|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240419_DC_01_IBT_000048|1|STORE_001|ITM_JEANS_BLUE_30|2024-04-19 00:00:00|8|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240419_DC_01_IBT_000048|2|STORE_001|ITM_JEANS_BLUE_32|2024-04-19 00:00:00|7|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240419_DC_01_IBT_000048|3|STORE_001|ITM_TEE_BASIC_M|2024-04-19 00:00:00|5|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240419_DC_01_IBT_000049|1|STORE_002|ITM_CHIPS_8OZ|2024-04-19 00:00:00|12|Delivered||USD|DC_01|0|8.24
PO_CLOTH01_20240419_DC_01_IBT_000049|2|STORE_002|ITM_JEANS_BLUE_30|2024-04-19 00:00:00|11|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240419_DC_01_IBT_000049|3|STORE_002|ITM_JEANS_BLUE_32|2024-04-19 00:00:00|9|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240419_DC_01_IBT_000049|4|STORE_002|ITM_JEANS_BLUE_34|2024-04-19 00:00:00|2|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240419_DC_01_IBT_000049|5|STORE_002|ITM_TEE_BASIC_M|2024-04-19 00:00:00|1|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240420_DC_01_IBT_000050|1|STORE_001|ITM_JEANS_BLUE_30|2024-04-20 00:00:00|8|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240420_DC_01_IBT_000050|2|STORE_001|ITM_JEANS_BLUE_32|2024-04-20 00:00:00|6|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240420_DC_01_IBT_000050|3|STORE_001|ITM_JEANS_BLUE_34|2024-04-20 00:00:00|2|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240420_DC_01_IBT_000050|4|STORE_001|ITM_TEE_BASIC_M|2024-04-20 00:00:00|4|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240420_DC_01_IBT_000051|1|STORE_002|ITM_CHIPS_8OZ|2024-04-20 00:00:00|14|Delivered||USD|DC_01|0|8.24
PO_CLOTH01_20240420_DC_01_IBT_000051|2|STORE_002|ITM_JEANS_BLUE_30|2024-04-20 00:00:00|11|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240420_DC_01_IBT_000051|3|STORE_002|ITM_JEANS_BLUE_32|2024-04-20 00:00:00|8|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240420_DC_01_IBT_000051|4|STORE_002|ITM_TEE_BASIC_M|2024-04-20 00:00:00|4|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240421_DC_01_IBT_000052|1|STORE_001|ITM_JEANS_BLUE_30|2024-04-21 00:00:00|4|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240421_DC_01_IBT_000052|2|STORE_001|ITM_JEANS_BLUE_32|2024-04-21 00:00:00|7|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240421_DC_01_IBT_000052|3|STORE_001|ITM_JEANS_BLUE_34|2024-04-21 00:00:00|4|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240421_DC_01_IBT_000052|4|STORE_001|ITM_TEE_BASIC_M|2024-04-21 00:00:00|3|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240421_DC_01_IBT_000053|1|STORE_002|ITM_CHIPS_8OZ|2024-04-21 00:00:00|13|Delivered||USD|DC_01|0|8.24
PO_CLOTH01_20240421_DC_01_IBT_000053|2|STORE_002|ITM_JEANS_BLUE_30|2024-04-21 00:00:00|8|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240421_DC_01_IBT_000053|3|STORE_002|ITM_JEANS_BLUE_32|2024-04-21 00:00:00|4|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240421_DC_01_IBT_000053|4|STORE_002|ITM_TEE_BASIC_M|2024-04-21 00:00:00|6|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240422_DC_01_IBT_000054|1|STORE_001|ITM_JEANS_BLUE_30|2024-04-22 00:00:00|1|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240422_DC_01_IBT_000054|2|STORE_001|ITM_JEANS_BLUE_32|2024-04-22 00:00:00|3|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240422_DC_01_IBT_000054|3|STORE_001|ITM_JEANS_BLUE_34|2024-04-22 00:00:00|2|Delivered||USD|DC_01|0|14.87
