DeliveryNoteNumber|CustomerOrderNumber|SiteCode|ItemCode|DeliveredQuantity|ActualDeliveryDate|CustomerOrderLineNumber
DN_CLOTH01_20240403_STORE_002_000006|CO_CLOTH01_20240403_STORE_002_0006|STORE_002|ITM_BOT_0005|6|2024-04-03 00:00:00|5
DN_CLOTH01_20240404_STORE_001_000007|CO_CLOTH01_20240404_STORE_001_0007|STORE_001|ITM_BAS_0001|10|2024-04-04 00:00:00|1
DN_CLOTH01_20240404_STORE_001_000007|CO_CLOTH01_20240404_STORE_001_0007|STORE_001|ITM_BAS_0002|15|2024-04-04 00:00:00|2
DN_CLOTH01_20240404_STORE_001_000007|CO_CLOTH01_20240404_STORE_001_0007|STORE_001|ITM_TOP_0003|6|2024-04-04 00:00:00|3
DN_CLOTH01_20240404_STORE_001_000007|CO_CLOTH01_20240404_STORE_001_0007|STORE_001|ITM_TOP_0004|3|2024-04-04 00:00:00|4
DN_CLOTH01_20240404_STORE_001_000007|CO_CLOTH01_20240404_STORE_001_0007|STORE_001|ITM_BOT_0005|1|2024-04-04 00:00:00|5
DN_CLOTH01_20240404_STORE_002_000008|CO_CLOTH01_20240404_STORE_002_0008|STORE_002|ITM_BAS_0001|12|2024-04-04 00:00:00|1
DN_CLOTH01_20240404_STORE_002_000008|CO_CLOTH01_20240404_STORE_002_0008|STORE_002|ITM_BAS_0002|9|2024-04-04 00:00:00|2
DN_CLOTH01_20240404_STORE_002_000008|CO_CLOTH01_20240404_STORE_002_0008|STORE_002|ITM_TOP_0003|12|2024-04-04 00:00:00|3
DN_CLOTH01_20240404_STORE_002_000008|CO_CLOTH01_20240404_STORE_002_0008|STORE_002|ITM_BOT_0005|5|2024-04-04 00:00:00|4
DN_CLOTH01_20240405_STORE_001_000009|CO_CLOTH01_20240405_STORE_001_0009|STORE_001|ITM_BAS_0001|24|2024-04-05 00:00:00|1
DN_CLOTH01_20240405_STORE_001_000009|CO_CLOTH01_20240405_STORE_001_0009|STORE_001|ITM_BAS_0002|13|2024-04-05 00:00:00|2
DN_CLOTH01_20240405_STORE_001_000009|CO_CLOTH01_20240405_STORE_001_0009|STORE_001|ITM_TOP_0003|6|2024-04-05 00:00:00|3
DN_CLOTH01_20240405_STORE_001_000009|CO_CLOTH01_20240405_STORE_001_0009|STORE_001|ITM_TOP_0004|1|2024-04-05 00:00:00|4
DN_CLOTH01_20240405_STORE_001_000009|CO_CLOTH01_20240405_STORE_001_0009|STORE_001|ITM_BOT_0005|3|2024-04-05 00:00:00|5
DN_CLOTH01_20240405_STORE_002_000010|CO_CLOTH01_20240405_STORE_002_0010|STORE_002|ITM_BAS_0001|17|2024-04-05 00:00:00|1
DN_CLOTH01_20240405_STORE_002_000010|CO_CLOTH01_20240405_STORE_002_0010|STORE_002|ITM_BAS_0002|8|2024-04-05 00:00:00|2
DN_CLOTH01_20240405_STORE_002_000010|CO_CLOTH01_20240405_STORE_002_0010|STORE_002|ITM_TOP_0003|7|2024-04-05 00:00:00|3
DN_CLOTH01_20240405_STORE_002_000010|CO_CLOTH01_20240405_STORE_002_0010|STORE_002|ITM_TOP_0004|3|2024-04-05 00:00:00|4
DN_CLOTH01_20240405_STORE_002_000010|CO_CLOTH01_20240405_STORE_002_0010|STORE_002|ITM_BOT_0005|2|2024-04-05 00:00:00|5
DN_CLOTH01_20240406_STORE_001_000011|CO_CLOTH01_20240406_STORE_001_0011|STORE_001|ITM_BAS_0001|14|2024-04-06 00:00:00|1
DN_CLOTH01_20240406_STORE_001_000011|CO_CLOTH01_20240406_STORE_001_0011|STORE_001|ITM_BAS_0002|17|2024-04-06 00:00:00|2
DN_CLOTH01_20240406_STORE_001_000011|CO_CLOTH01_20240406_STORE_001_0011|STORE_001|ITM_TOP_0003|5|2024-04-06 00:00:00|3
DN_CLOTH01_20240406_STORE_001_000011|CO_CLOTH01_20240406_STORE_001_0011|STORE_001|ITM_TOP_0004|6|2024-04-06 00:00:00|4
DN_CLOTH01_20240406_STORE_001_000011|CO_CLOTH01_20240406_STORE_001_0011|STORE_001|ITM_BOT_0005|3|2024-04-06 00:00:00|5
DN_CLOTH01_20240406_STORE_002_000012|CO_CLOTH01_20240406_STORE_002_0012|STORE_002|ITM_BAS_0001|19|2024-04-06 00:00:00|1
DN_CLOTH01_20240406_STORE_002_000012|CO_CLOTH01_20240406_STORE_002_0012|STORE_002|ITM_BAS_0002|17|2024-04-06 00:00:00|2
DN_CLOTH01_20240406_STORE_002_000012|CO_CLOTH01_20240406_STORE_002_0012|STORE_002|ITM_TOP_0003|9|2024-04-06 00:00:00|3
DN_CLOTH01_20240407_STORE_001_000013|CO_CLOTH01_20240407_STORE_001_0013|STORE_001|ITM_BAS_0001|14|2024-04-07 00:00:00|1
DN_CLOTH01_20240407_STORE_001_000013|CO_CLOTH01_20240407_STORE_001_0013|STORE_001|ITM_BAS_0002|8|2024-04-07 00:00:00|2
DN_CLOTH01_20240407_STORE_001_000013|CO_CLOTH01_20240407_STORE_001_0013|STORE_001|ITM_TOP_0003|10|2024-04-07 00:00:00|3
DN_CLOTH01_20240407_STORE_001_000013|CO_CLOTH01_20240407_STORE_001_0013|STORE_001|ITM_TOP_0004|1|2024-04-07 00:00:00|4
DN_CLOTH01_20240407_STORE_001_000013|CO_CLOTH01_20240407_STORE_001_0013|STORE_001|ITM_BOT_0005|3|2024-04-07 00:00:00|5
DN_CLOTH01_20240407_STORE_002_000014|CO_CLOTH01_20240407_STORE_002_0014|STORE_002|ITM_BAS_0001|9|2024-04-07 00:00:00|1
DN_CLOTH01_20240407_STORE_002_000014|CO_CLOTH01_20240407_STORE_002_0014|STORE_002|ITM_BAS_0002|11|2024-04-07 00:00:00|2
DN_CLOTH01_20240407_STORE_002_000014|CO_CLOTH01_20240407_STORE_002_0014|STORE_002|ITM_TOP_0003|7|2024-04-07 00:00:00|3
DN_CLOTH01_20240407_STORE_002_000014|CO_CLOTH01_20240407_STORE_002_0014|STORE_002|ITM_TOP_0004|2|2024-04-07 00:00:00|4
DN_CLOTH01_20240407_STORE_002_000014|CO_CLOTH01_20240407_STORE_002_0014|STORE_002|ITM_BOT_0005|6|2024-04-07 00:00:00|5
DN_CLOTH01_20240408_STORE_001_000015|CO_CLOTH01_20240408_STORE_001_0015|STORE_001|ITM_BAS_0001|22|2024-04-08 00:00:00|1
DN_CLOTH01_20240408_STORE_001_000015|CO_CLOTH01_20240408_STORE_001_0015|STORE_001|ITM_BAS_0002|19|2024-04-08 00:00:00|2
DN_CLOTH01_20240408_STORE_001_000015|CO_CLOTH01_20240408_STORE_001_0015|STORE_001|ITM_TOP_0003|3|2024-04-08 00:00:00|3
DN_CLOTH01_20240408_STORE_002_000016|CO_CLOTH01_20240408_STORE_002_0016|STORE_002|ITM_BAS_0001|11|2024-04-08 00:00:00|1
DN_CLOTH01_20240408_STORE_002_000016|CO_CLOTH01_20240408_STORE_002_0016|STORE_002|ITM_BAS_0002|7|2024-04-08 00:00:00|2
DN_CLOTH01_20240408_STORE_002_000016|CO_CLOTH01_20240408_STORE_002_0016|STORE_002|ITM_TOP_0003|7|2024-04-08 00:00:00|3
DN_CLOTH01_20240408_STORE_002_000016|CO_CLOTH01_20240408_STORE_002_0016|STORE_002|ITM_BOT_0005|1|2024-04-08 00:00:00|4
DN_CLOTH01_20240409_STORE_001_000017|CO_CLOTH01_20240409_STORE_001_0017|STORE_001|ITM_BAS_0001|16|2024-04-09 00:00:00|1
DN_CLOTH01_20240409_STORE_001_000017|CO_CLOTH01_20240409_STORE_001_0017|STORE_001|ITM_BAS_0002|17|2024-04-09 00:00:00|2
DN_CLOTH01_20240409_STORE_001_000017|CO_CLOTH01_20240409_STORE_001_0017|STORE_001|ITM_TOP_0003|7|2024-04-09 00:00:00|3
DN_CLOTH01_20240409_STORE_001_000017|CO_CLOTH01_20240409_STORE_001_0017|STORE_001|ITM_TOP_0004|3|2024-04-09 00:00:00|4
DN_CLOTH01_20240409_STORE_001_000017|CO_CLOTH01_20240409_STORE_001_0017|STORE_001|ITM_BOT_0005|5|2024-04-09 00:00:00|5
DN_CLOTH01_20240409_STORE_002_000018|CO_CLOTH01_20240409_STORE_002_0018|STORE_002|ITM_BAS_0001|10|2024-04-09 00:00:00|1
DN_CLOTH01_20240409_STORE_002_000018|CO_CLOTH01_20240409_STORE_002_0018|STORE_002|ITM_BAS_0002|19|2024-04-09 00:00:00|2
DN_CLOTH01_20240409_STORE_002_000018|CO_CLOTH01_20240409_STORE_002_0018|STORE_002|ITM_TOP_0003|8|2024-04-09 00:00:00|3
DN_CLOTH01_20240409_STORE_002_000018|CO_CLOTH01_20240409_STORE_002_0018|STORE_002|ITM_TOP_0004|3|2024-04-09 00:00:00|4
DN_CLOTH01_20240409_STORE_002_000018|CO_CLOTH01_20240409_STORE_002_0018|STORE_002|ITM_BOT_0005|3|2024-04-09 00:00:00|5
DN_CLOTH01_20240410_STORE_001_000019|CO_CLOTH01_20240410_STORE_001_0019|STORE_001|ITM_BAS_0001|12|2024-04-10 00:00:00|1
DN_CLOTH01_20240410_STORE_001_000019|CO_CLOTH01_20240410_STORE_001_0019|STORE_001|ITM_BAS_0002|8|2024-04-10 00:00:00|2
DN_CLOTH01_20240410_STORE_001_000019|CO_CLOTH01_20240410_STORE_001_0019|STORE_001|ITM_TOP_0003|8|2024-04-10 00:00:00|3
DN_CLOTH01_20240410_STORE_001_000019|CO_CLOTH01_20240410_STORE_001_0019|STORE_001|ITM_BOT_0005|2|2024-04-10 00:00:00|4
DN_CLOTH01_20240410_STORE_002_000020|CO_CLOTH01_20240410_STORE_002_0020|STORE_002|ITM_BAS_0001|16|2024-04-10 00:00:00|1
DN_CLOTH01_20240410_STORE_002_000020|CO_CLOTH01_20240410_STORE_002_0020|STORE_002|ITM_BAS_0002|12|2024-04-10 00:00:00|2
DN_CLOTH01_20240410_STORE_002_000020|CO_CLOTH01_20240410_STORE_002_0020|STORE_002|ITM_TOP_0003|5|2024-04-10 00:00:00|3
DN_CLOTH01_20240410_STORE_002_000020|CO_CLOTH01_20240410_STORE_002_0020|STORE_002|ITM_TOP_0004|5|2024-04-10 00:00:00|4
DN_CLOTH01_20240410_STORE_002_000020|CO_CLOTH01_20240410_STORE_002_0020|STORE_002|ITM_BOT_0005|1|2024-04-10 00:00:00|5
DN_CLOTH01_20240411_STORE_001_000021|CO_CLOTH01_20240411_STORE_001_0021|STORE_001|ITM_BAS_0001|14|2024-04-11 00:00:00|1
DN_CLOTH01_20240411_STORE_001_000021|CO_CLOTH01_20240411_STORE_001_0021|STORE_001|ITM_BAS_0002|10|2024-04-11 00:00:00|2
DN_CLOTH01_20240411_STORE_001_000021|CO_CLOTH01_20240411_STORE_001_0021|STORE_001|ITM_TOP_0003|8|2024-04-11 00:00:00|3
DN_CLOTH01_20240411_STORE_001_000021|CO_CLOTH01_20240411_STORE_001_0021|STORE_001|ITM_TOP_0004|3|2024-04-11 00:00:00|4
DN_CLOTH01_20240411_STORE_001_000021|CO_CLOTH01_20240411_STORE_001_0021|STORE_001|ITM_BOT_0005|5|2024-04-11 00:00:00|5
DN_CLOTH01_20240411_STORE_002_000022|CO_CLOTH01_20240411_STORE_002_0022|STORE_002|ITM_BAS_0001|10|2024-04-11 00:00:00|1
DN_CLOTH01_20240411_STORE_002_000022|CO_CLOTH01_20240411_STORE_002_0022|STORE_002|ITM_BAS_0002|16|2024-04-11 00:00:00|2
DN_CLOTH01_20240411_STORE_002_000022|CO_CLOTH01_20240411_STORE_002_0022|STORE_002|ITM_TOP_0003|6|2024-04-11 00:00:00|3
DN_CLOTH01_20240411_STORE_002_000022|CO_CLOTH01_20240411_STORE_002_0022|STORE_002|ITM_TOP_0004|3|2024-04-11 00:00:00|4
DN_CLOTH01_20240411_STORE_002_000022|CO_CLOTH01_20240411_STORE_002_0022|STORE_002|ITM_BOT_0005|1|2024-04-11 00:00:00|5
DN_CLOTH01_20240412_STORE_001_000023|CO_CLOTH01_20240412_STORE_001_0023|STORE_001|ITM_BAS_0001|16|2024-04-12 00:00:00|1
DN_CLOTH01_20240412_STORE_001_000023|CO_CLOTH01_20240412_STORE_001_0023|STORE_001|ITM_BAS_0002|23|2024-04-12 00:00:00|2
DN_CLOTH01_20240412_STORE_001_000023|CO_CLOTH01_20240412_STORE_001_0023|STORE_001|ITM_TOP_0003|7|2024-04-12 00:00:00|3
DN_CLOTH01_20240412_STORE_001_000023|CO_CLOTH01_20240412_STORE_001_0023|STORE_001|ITM_TOP_0004|3|2024-04-12 00:00:00|4
DN_CLOTH01_20240412_STORE_001_000023|CO_CLOTH01_20240412_STORE_001_0023|STORE_001|ITM_BOT_0005|3|2024-04-12 00:00:00|5
DN_CLOTH01_20240412_STORE_002_000024|CO_CLOTH01_20240412_STORE_002_0024|STORE_002|ITM_BAS_0001|12|2024-04-12 00:00:00|1
DN_CLOTH01_20240412_STORE_002_000024|CO_CLOTH01_20240412_STORE_002_0024|STORE_002|ITM_BAS_0002|18|2024-04-12 00:00:00|2
DN_CLOTH01_20240412_STORE_002_000024|CO_CLOTH01_20240412_STORE_002_0024|STORE_002|ITM_TOP_0003|11|2024-04-12 00:00:00|3
DN_CLOTH01_20240412_STORE_002_000024|CO_CLOTH01_20240412_STORE_002_0024|STORE_002|ITM_TOP_0004|5|2024-04-12 00:00:00|4
DN_CLOTH01_20240412_STORE_002_000024|CO_CLOTH01_20240412_STORE_002_0024|STORE_002|ITM_BOT_0005|5|2024-04-12 00:00:00|5
DN_CLOTH01_20240413_STORE_001_000025|CO_CLOTH01_20240413_STORE_001_0025|STORE_001|ITM_BAS_0001|12|2024-04-13 00:00:00|1
DN_CLOTH01_20240413_STORE_001_000025|CO_CLOTH01_20240413_STORE_001_0025|STORE_001|ITM_BAS_0002|22|2024-04-13 00:00:00|2
DN_CLOTH01_20240413_STORE_001_000025|CO_CLOTH01_20240413_STORE_001_0025|STORE_001|ITM_TOP_0003|7|2024-04-13 00:00:00|3
DN_CLOTH01_20240413_STORE_001_000025|CO_CLOTH01_20240413_STORE_001_0025|STORE_001|ITM_TOP_0004|2|2024-04-13 00:00:00|4
DN_CLOTH01_20240413_STORE_001_000025|CO_CLOTH01_20240413_STORE_001_0025|STORE_001|ITM_BOT_0005|5|2024-04-13 00:00:00|5
DN_CLOTH01_20240413_STORE_002_000026|CO_CLOTH01_20240413_STORE_002_0026|STORE_002|ITM_BAS_0001|17|2024-04-13 00:00:00|1
DN_CLOTH01_20240413_STORE_002_000026|CO_CLOTH01_20240413_STORE_002_0026|STORE_002|ITM_BAS_0002|30|2024-04-13 00:00:00|2
DN_CLOTH01_20240413_STORE_002_000026|CO_CLOTH01_20240413_STORE_002_0026|STORE_002|ITM_TOP_0003|5|2024-04-13 00:00:00|3
DN_CLOTH01_20240413_STORE_002_000026|CO_CLOTH01_20240413_STORE_002_0026|STORE_002|ITM_TOP_0004|3|2024-04-13 00:00:00|4
DN_CLOTH01_20240413_STORE_002_000026|CO_CLOTH01_20240413_STORE_002_0026|STORE_002|ITM_BOT_0005|3|2024-04-13 00:00:00|5
DN_CLOTH01_20240414_STORE_001_000027|CO_CLOTH01_20240414_STORE_001_0027|STORE_001|ITM_BAS_0001|13|2024-04-14 00:00:00|1
DN_CLOTH01_20240414_STORE_001_000027|CO_CLOTH01_20240414_STORE_001_0027|STORE_001|ITM_BAS_0002|6|2024-04-14 00:00:00|2
DN_CLOTH01_20240414_STORE_001_000027|CO_CLOTH01_20240414_STORE_001_0027|STORE_001|ITM_TOP_0003|5|2024-04-14 00:00:00|3
DN_CLOTH01_20240414_STORE_001_000027|CO_CLOTH01_20240414_STORE_001_0027|STORE_001|ITM_TOP_0004|5|2024-04-14 00:00:00|4
DN_CLOTH01_20240414_STORE_001_000027|CO_CLOTH01_20240414_STORE_001_0027|STORE_001|ITM_BOT_0005|3|2024-04-14 00:00:00|5
DN_CLOTH01_20240414_STORE_002_000028|CO_CLOTH01_20240414_STORE_002_0028|STORE_002|ITM_BAS_0001|10|2024-04-14 00:00:00|1
DN_CLOTH01_20240414_STORE_002_000028|CO_CLOTH01_20240414_STORE_002_0028|STORE_002|ITM_BAS_0002|14|2024-04-14 00:00:00|2
DN_CLOTH01_20240414_STORE_002_000028|CO_CLOTH01_20240414_STORE_002_0028|STORE_002|ITM_TOP_0003|7|2024-04-14 00:00:00|3
DN_CLOTH01_20240414_STORE_002_000028|CO_CLOTH01_20240414_STORE_002_0028|STORE_002|ITM_TOP_0004|3|2024-04-14 00:00:00|4
DN_CLOTH01_20240414_STORE_002_000028|CO_CLOTH01_20240414_STORE_002_0028|STORE_002|ITM_BOT_0005|2|2024-04-14 00:00:00|5
DN_CLOTH01_20240415_STORE_001_000029|CO_CLOTH01_20240415_STORE_001_0029|STORE_001|ITM_BAS_0001|13|2024-04-15 00:00:00|1
DN_CLOTH01_20240415_STORE_001_000029|CO_CLOTH01_20240415_STORE_001_0029|STORE_001|ITM_BAS_0002|14|2024-04-15 00:00:00|2
DN_CLOTH01_20240415_STORE_001_000029|CO_CLOTH01_20240415_STORE_001_0029|STORE_001|ITM_TOP_0003|7|2024-04-15 00:00:00|3
DN_CLOTH01_20240415_STORE_001_000029|CO_CLOTH01_20240415_STORE_001_0029|STORE_001|ITM_TOP_0004|2|2024-04-15 00:00:00|4
DN_CLOTH01_20240415_STORE_001_000029|CO_CLOTH01_20240415_STORE_001_0029|STORE_001|ITM_BOT_0005|5|2024-04-15 00:00:00|5
DN_CLOTH01_20240415_STORE_002_000030|CO_CLOTH01_20240415_STORE_002_0030|STORE_002|ITM_BAS_0001|16|2024-04-15 00:00:00|1
DN_CLOTH01_20240415_STORE_002_000030|CO_CLOTH01_20240415_STORE_002_0030|STORE_002|ITM_BAS_0002|17|2024-04-15 00:00:00|2
DN_CLOTH01_20240415_STORE_002_000030|CO_CLOTH01_20240415_STORE_002_0030|STORE_002|ITM_TOP_0003|7|2024-04-15 00:00:00|3
DN_CLOTH01_20240415_STORE_002_000030|CO_CLOTH01_20240415_STORE_002_0030|STORE_002|ITM_TOP_0004|1|2024-04-15 00:00:00|4
DN_CLOTH01_20240415_STORE_002_000030|CO_CLOTH01_20240415_STORE_002_0030|STORE_002|ITM_BOT_0005|2|2024-04-15 00:00:00|5
DN_CLOTH01_20240416_STORE_001_000031|CO_CLOTH01_20240416_STORE_001_0031|STORE_001|ITM_BAS_0001|7|2024-04-16 00:00:00|1
DN_CLOTH01_20240416_STORE_001_000031|CO_CLOTH01_20240416_STORE_001_0031|STORE_001|ITM_BAS_0002|14|2024-04-16 00:00:00|2
DN_CLOTH01_20240416_STORE_001_000031|CO_CLOTH01_20240416_STORE_001_0031|STORE_001|ITM_TOP_0003|6|2024-04-16 00:00:00|3
DN_CLOTH01_20240416_STORE_001_000031|CO_CLOTH01_20240416_STORE_001_0031|STORE_001|ITM_TOP_0004|1|2024-04-16 00:00:00|4
DN_CLOTH01_20240416_STORE_001_000031|CO_CLOTH01_20240416_STORE_001_0031|STORE_001|ITM_BOT_0005|3|2024-04-16 00:00:00|5
DN_CLOTH01_20240416_STORE_002_000032|CO_CLOTH01_20240416_STORE_002_0032|STORE_002|ITM_BAS_0001|21|2024-04-16 00:00:00|1
DN_CLOTH01_20240416_STORE_002_000032|CO_CLOTH01_20240416_STORE_002_0032|STORE_002|ITM_BAS_0002|19|2024-04-16 00:00:00|2
DN_CLOTH01_20240416_STORE_002_000032|CO_CLOTH01_20240416_STORE_002_0032|STORE_002|ITM_TOP_0003|11|2024-04-16 00:00:00|3
DN_CLOTH01_20240416_STORE_002_000032|CO_CLOTH01_20240416_STORE_002_0032|STORE_002|ITM_TOP_0004|2|2024-04-16 00:00:00|4
DN_CLOTH01_20240416_STORE_002_000032|CO_CLOTH01_20240416_STORE_002_0032|STORE_002|ITM_BOT_0005|2|2024-04-16 00:00:00|5
DN_CLOTH01_20240417_STORE_001_000033|CO_CLOTH01_20240417_STORE_001_0033|STORE_001|ITM_BAS_0001|7|2024-04-17 00:00:00|1
DN_CLOTH01_20240417_STORE_001_000033|CO_CLOTH01_20240417_STORE_001_0033|STORE_001|ITM_BAS_0002|10|2024-04-17 00:00:00|2
DN_CLOTH01_20240417_STORE_001_000033|CO_CLOTH01_20240417_STORE_001_0033|STORE_001|ITM_TOP_0003|7|2024-04-17 00:00:00|3
DN_CLOTH01_20240417_STORE_001_000033|CO_CLOTH01_20240417_STORE_001_0033|STORE_001|ITM_TOP_0004|3|2024-04-17 00:00:00|4
DN_CLOTH01_20240417_STORE_001_000033|CO_CLOTH01_20240417_STORE_001_0033|STORE_001|ITM_BOT_0005|2|2024-04-17 00:00:00|5
DN_CLOTH01_20240417_STORE_002_000034|CO_CLOTH01_20240417_STORE_002_0034|STORE_002|ITM_BAS_0001|12|2024-04-17 00:00:00|1
DN_CLOTH01_20240417_STORE_002_000034|CO_CLOTH01_20240417_STORE_002_0034|STORE_002|ITM_BAS_0002|10|2024-04-17 00:00:00|2
DN_CLOTH01_20240417_STORE_002_000034|CO_CLOTH01_20240417_STORE_002_0034|STORE_002|ITM_TOP_0003|5|2024-04-17 00:00:00|3
DN_CLOTH01_20240417_STORE_002_000034|CO_CLOTH01_20240417_STORE_002_0034|STORE_002|ITM_TOP_0004|2|2024-04-17 00:00:00|4
DN_CLOTH01_20240417_STORE_002_000034|CO_CLOTH01_20240417_STORE_002_0034|STORE_002|ITM_BOT_0005|5|2024-04-17 00:00:00|5
DN_CLOTH01_20240418_STORE_001_000035|CO_CLOTH01_20240418_STORE_001_0035|STORE_001|ITM_BAS_0001|19|2024-04-18 00:00:00|1
DN_CLOTH01_20240418_STORE_001_000035|CO_CLOTH01_20240418_STORE_001_0035|STORE_001|ITM_BAS_0002|13|2024-04-18 00:00:00|2
DN_CLOTH01_20240418_STORE_001_000035|CO_CLOTH01_20240418_STORE_001_0035|STORE_001|ITM_TOP_0003|8|2024-04-18 00:00:00|3
DN_CLOTH01_20240418_STORE_001_000035|CO_CLOTH01_20240418_STORE_001_0035|STORE_001|ITM_TOP_0004|2|2024-04-18 00:00:00|4
DN_CLOTH01_20240418_STORE_002_000036|CO_CLOTH01_20240418_STORE_002_0036|STORE_002|ITM_BAS_0001|16|2024-04-18 00:00:00|1
DN_CLOTH01_20240418_STORE_002_000036|CO_CLOTH01_20240418_STORE_002_0036|STORE_002|ITM_BAS_0002|19|2024-04-18 00:00:00|2
DN_CLOTH01_20240418_STORE_002_000036|CO_CLOTH01_20240418_STORE_002_0036|STORE_002|ITM_TOP_0003|3|2024-04-18 00:00:00|3
DN_CLOTH01_20240418_STORE_002_000036|CO_CLOTH01_20240418_STORE_002_0036|STORE_002|ITM_TOP_0004|3|2024-04-18 00:00:00|4
DN_CLOTH01_20240418_STORE_002_000036|CO_CLOTH01_20240418_STORE_002_0036|STORE_002|ITM_BOT_0005|3|2024-04-18 00:00:00|5
DN_CLOTH01_20240419_STORE_001_000037|CO_CLOTH01_20240419_STORE_001_0037|STORE_001|ITM_BAS_0001|9|2024-04-19 00:00:00|1
