GRVNumber|PurchaseOrderNumber|SiteCode|ItemCode|ReceivedQuantity|ActualReceiptDate|IBTSourceSite|SupplierCode|PurchaseOrderLineNumber|TotalCost|ReceiptCurrencyCode
GRV_CLOTH01_000026|PO_CLOTH01_20240408_DC_01_000099|DC_01|ITM_ACC_0047|77|2024-04-17 00:00:00||SUP_008|1|552.09|USD
GRV_CLOTH01_000027|PO_CLOTH01_20240401_DC_01_000009|DC_01|ITM_BAS_0010|189|2024-04-18 00:00:00||SUP_001|1|1440.18|USD
GRV_CLOTH01_000028|PO_CLOTH01_20240401_DC_01_000018|DC_01|ITM_BOT_0030|114|2024-04-18 00:00:00||SUP_001|1|2576.4|USD
GRV_CLOTH01_000029|PO_CLOTH01_20240408_DC_01_000066|DC_01|ITM_BAS_0005|521|2024-04-18 00:00:00||SUP_006|1|1771.4|USD
GRV_CLOTH01_000030|PO_CLOTH01_20240408_DC_01_000072|DC_01|ITM_TOP_0015|82|2024-04-18 00:00:00||SUP_006|1|635.5|USD
GRV_CLOTH01_000031|PO_CLOTH01_20240408_DC_01_000073|DC_01|ITM_TOP_0016|170|2024-04-18 00:00:00||SUP_007|1|4414.9|USD
GRV_CLOTH01_000032|PO_CLOTH01_20240408_DC_01_000081|DC_01|ITM_BOT_0025|258|2024-04-18 00:00:00||SUP_006|1|7456.2|USD
GRV_CLOTH01_000033|PO_CLOTH01_20240408_DC_01_000090|DC_01|ITM_FOO_0035|184|2024-04-18 00:00:00||SUP_006|1|7998.48|USD
GRV_CLOTH01_000034|PO_CLOTH01_20240408_DC_01_000091|DC_01|ITM_FOO_0036|96|2024-04-18 00:00:00||SUP_007|1|4737.6|USD
GRV_CLOTH01_000035|PO_CLOTH01_20240408_DC_01_000097|DC_01|ITM_OUT_0045|61|2024-04-18 00:00:00||SUP_006|1|4399.32|USD
GRV_CLOTH01_000036|PO_CLOTH01_20240408_DC_01_000098|DC_01|ITM_ACC_0046|24|2024-04-18 00:00:00||SUP_007|1|239.52|USD
GRV_CLOTH01_000037|PO_CLOTH01_20240401_DC_01_000006|DC_01|ITM_BAS_0003|102|2024-04-19 00:00:00||SUP_004|1|386.58|USD
GRV_CLOTH01_000038|PO_CLOTH01_20240401_DC_01_000017|DC_01|ITM_BOT_0028|186|2024-04-19 00:00:00||SUP_009|1|5025.72|USD
GRV_CLOTH01_000039|PO_CLOTH01_20240401_DC_01_000020|DC_01|ITM_FOO_0033|8|2024-04-19 00:00:00||SUP_004|1|363.04|USD
GRV_CLOTH01_000040|PO_CLOTH01_20240401_DC_01_000025|DC_01|ITM_OUT_0043|35|2024-04-19 00:00:00||SUP_004|1|2223.2|USD
GRV_CLOTH01_000041|PO_CLOTH01_20240408_DC_01_000065|DC_01|ITM_BAS_0004|272|2024-04-19 00:00:00||SUP_005|1|1651.04|USD
GRV_CLOTH01_000042|PO_CLOTH01_20240408_DC_01_000071|DC_01|ITM_TOP_0014|38|2024-04-19 00:00:00||SUP_005|1|990.28|USD
GRV_CLOTH01_000043|PO_CLOTH01_20240408_DC_01_000080|DC_01|ITM_BOT_0024|162|2024-04-19 00:00:00||SUP_005|1|5788.26|USD
GRV_CLOTH01_000044|PO_CLOTH01_20240408_DC_01_000096|DC_01|ITM_OUT_0044|17|2024-04-19 00:00:00||SUP_005|1|1681.81|USD
GRV_CLOTH01_000045|PO_CLOTH01_20240408_DC_01_000077|DC_01|ITM_TOP_0021|11|2024-04-19 00:00:00||SUP_002|1|168.08|USD
GRV_CLOTH01_000046|PO_CLOTH01_20240415_DC_01_000137|DC_01|ITM_BAS_0002|308|2024-04-22 00:00:00||SUP_003|1|2855.16|USD
GRV_CLOTH01_000047|PO_CLOTH01_20240415_DC_01_000146|DC_01|ITM_TOP_0012|22|2024-04-22 00:00:00||SUP_003|1|277.86|USD
GRV_CLOTH01_000048|PO_CLOTH01_20240415_DC_01_000156|DC_01|ITM_TOP_0022|193|2024-04-22 00:00:00||SUP_003|1|1874.03|USD
GRV_CLOTH01_000049|PO_CLOTH01_20240408_DC_01_000092|DC_01|ITM_FOO_0037|47|2024-04-22 00:00:00||SUP_008|1|889.24|USD
GRV_CLOTH01_000050|PO_CLOTH01_20240415_DC_01_000136|DC_01|ITM_BAS_0001|370|2024-04-23 00:00:00||SUP_002|1|2886.0|USD
GRV_CLOTH01_000051|PO_CLOTH01_20240415_DC_01_000144|DC_01|ITM_BAS_0009|491|2024-04-23 00:00:00||SUP_010|1|2234.05|USD
GRV_CLOTH01_000052|PO_CLOTH01_20240415_DC_01_000153|DC_01|ITM_TOP_0019|102|2024-04-23 00:00:00||SUP_010|1|1137.3|USD
GRV_CLOTH01_000053|PO_CLOTH01_20240415_DC_01_000163|DC_01|ITM_BOT_0029|164|2024-04-23 00:00:00||SUP_010|1|6437.0|USD
GRV_CLOTH01_000054|PO_CLOTH01_20240415_DC_01_000165|DC_01|ITM_BOT_0031|240|2024-04-23 00:00:00||SUP_002|1|6590.4|USD
GRV_CLOTH01_000055|PO_CLOTH01_20240408_DC_01_000084|DC_01|ITM_BOT_0029|67|2024-04-23 00:00:00||SUP_010|1|2629.75|USD
GRV_CLOTH01_000056|PO_CLOTH01_20240415_DC_01_000142|DC_01|ITM_BAS_0007|378|2024-04-24 00:00:00||SUP_008|1|2509.92|USD
GRV_CLOTH01_000057|PO_CLOTH01_20240415_DC_01_000151|DC_01|ITM_TOP_0017|87|2024-04-24 00:00:00||SUP_008|1|2046.24|USD
GRV_CLOTH01_000058|PO_CLOTH01_20240415_DC_01_000161|DC_01|ITM_BOT_0027|293|2024-04-24 00:00:00||SUP_008|1|9501.99|USD
GRV_CLOTH01_000059|PO_CLOTH01_20240401_DC_01_000013|DC_01|ITM_TOP_0018|147|2024-04-24 00:00:00||SUP_009|1|2257.92|USD
GRV_CLOTH01_000060|PO_CLOTH01_20240408_DC_01_000070|DC_01|ITM_BAS_0010|37|2024-04-25 00:00:00||SUP_001|1|281.94|USD
GRV_CLOTH01_000061|PO_CLOTH01_20240408_DC_01_000076|DC_01|ITM_TOP_0020|50|2024-04-25 00:00:00||SUP_001|1|1471.0|USD
GRV_CLOTH01_000062|PO_CLOTH01_20240408_DC_01_000085|DC_01|ITM_BOT_0030|26|2024-04-25 00:00:00||SUP_001|1|587.6|USD
GRV_CLOTH01_000063|PO_CLOTH01_20240408_DC_01_000094|DC_01|ITM_FOO_0040|166|2024-04-25 00:00:00||SUP_001|1|3401.34|USD
GRV_CLOTH01_000064|PO_CLOTH01_20240408_DC_01_000100|DC_01|ITM_FOR_0050|77|2024-04-25 00:00:00||SUP_001|1|9748.2|USD
GRV_CLOTH01_000065|PO_CLOTH01_20240415_DC_01_000140|DC_01|ITM_BAS_0005|309|2024-04-25 00:00:00||SUP_006|1|1050.6|USD
GRV_CLOTH01_000066|PO_CLOTH01_20240415_DC_01_000141|DC_01|ITM_BAS_0006|375|2024-04-25 00:00:00||SUP_007|1|1758.75|USD
GRV_CLOTH01_000067|PO_CLOTH01_20240415_DC_01_000149|DC_01|ITM_TOP_0015|79|2024-04-25 00:00:00||SUP_006|1|612.25|USD
GRV_CLOTH01_000068|PO_CLOTH01_20240415_DC_01_000150|DC_01|ITM_TOP_0016|255|2024-04-25 00:00:00||SUP_007|1|6622.35|USD
GRV_CLOTH01_000069|PO_CLOTH01_20240415_DC_01_000159|DC_01|ITM_BOT_0025|167|2024-04-25 00:00:00||SUP_006|1|4826.3|USD
GRV_CLOTH01_000070|PO_CLOTH01_20240415_DC_01_000160|DC_01|ITM_BOT_0026|76|2024-04-25 00:00:00||SUP_007|1|2629.6|USD
GRV_CLOTH01_000071|PO_CLOTH01_20240415_DC_01_000169|DC_01|ITM_FOO_0035|15|2024-04-25 00:00:00||SUP_006|1|652.05|USD
GRV_CLOTH01_000072|PO_CLOTH01_20240415_DC_01_000170|DC_01|ITM_FOO_0036|41|2024-04-25 00:00:00||SUP_007|1|2023.35|USD
GRV_CLOTH01_000073|PO_CLOTH01_20240415_DC_01_000175|DC_01|ITM_OUT_0045|30|2024-04-25 00:00:00||SUP_006|1|2163.6|USD
GRV_CLOTH01_000074|PO_CLOTH01_20240408_DC_01_000064|DC_01|ITM_BAS_0003|626|2024-04-26 00:00:00||SUP_004|1|2372.54|USD
GRV_CLOTH01_000075|PO_CLOTH01_20240408_DC_01_000068|DC_01|ITM_BAS_0008|300|2024-04-26 00:00:00||SUP_009|1|1014.0|USD
GRV_CLOTH01_000076|PO_CLOTH01_20240408_DC_01_000083|DC_01|ITM_BOT_0028|114|2024-04-26 00:00:00||SUP_009|1|3080.28|USD
GRV_CLOTH01_000077|PO_CLOTH01_20240408_DC_01_000088|DC_01|ITM_FOO_0033|147|2024-04-26 00:00:00||SUP_004|1|6670.86|USD
GRV_CLOTH01_000078|PO_CLOTH01_20240408_DC_01_000093|DC_01|ITM_FOO_0038|87|2024-04-26 00:00:00||SUP_009|1|2377.71|USD
GRV_CLOTH01_000079|PO_CLOTH01_20240408_DC_01_000095|DC_01|ITM_OUT_0043|38|2024-04-26 00:00:00||SUP_004|1|2413.76|USD
GRV_CLOTH01_000080|PO_CLOTH01_20240415_DC_01_000139|DC_01|ITM_BAS_0004|126|2024-04-26 00:00:00||SUP_005|1|764.82|USD
GRV_CLOTH01_000081|PO_CLOTH01_20240415_DC_01_000148|DC_01|ITM_TOP_0014|28|2024-04-26 00:00:00||SUP_005|1|729.68|USD
GRV_CLOTH01_000082|PO_CLOTH01_20240415_DC_01_000158|DC_01|ITM_BOT_0024|92|2024-04-26 00:00:00||SUP_005|1|3287.16|USD
GRV_CLOTH01_000083|PO_CLOTH01_20240415_DC_01_000168|DC_01|ITM_FOO_0034|91|2024-04-26 00:00:00||SUP_005|1|5151.51|USD
GRV_CLOTH01_000084|PO_CLOTH01_20240415_DC_01_000174|DC_01|ITM_OUT_0044|17|2024-04-26 00:00:00||SUP_005|1|1681.81|USD
GRV_CLOTH01_000085|PO_CLOTH01_20240408_DC_01_000089|DC_01|ITM_FOO_0034|114|2024-04-26 00:00:00||SUP_005|1|6453.54|USD
GRV_CLOTH01_000086|PO_CLOTH01_20240415_DC_01_000166|DC_01|ITM_BOT_0032|99|2024-04-26 00:00:00||SUP_003|1|3486.78|USD
GRV_CLOTH01_000087|PO_CLOTH01_20240408_DC_01_000082|DC_01|ITM_BOT_0027|38|2024-04-27 00:00:00||SUP_008|1|1232.34|USD
GRV_CLOTH01_000088|PO_CLOTH01_20240415_DC_01_000173|DC_01|ITM_OUT_0041|6|2024-04-27 00:00:00||SUP_002|1|354.24|USD
GRV_CLOTH01_000089|PO_CLOTH01_20240422_DC_01_000213|DC_01|ITM_BAS_0002|394|2024-04-29 00:00:00||SUP_003|1|3652.38|USD
GRV_CLOTH01_000090|PO_CLOTH01_20240422_DC_01_000223|DC_01|ITM_TOP_0012|159|2024-04-29 00:00:00||SUP_003|1|2008.17|USD
GRV_CLOTH01_000091|PO_CLOTH01_20240422_DC_01_000233|DC_01|ITM_TOP_0022|105|2024-04-29 00:00:00||SUP_003|1|1019.55|USD
GRV_CLOTH01_000092|PO_CLOTH01_20240415_DC_01_000149|DC_01|ITM_TOP_0015|52|2024-04-29 00:00:00||SUP_006|1|403.0|USD
GRV_CLOTH01_000093|PO_CLOTH01_20240422_DC_01_000212|DC_01|ITM_BAS_0001|473|2024-04-30 00:00:00||SUP_002|1|3689.4|USD
GRV_CLOTH01_000094|PO_CLOTH01_20240422_DC_01_000220|DC_01|ITM_BAS_0009|388|2024-04-30 00:00:00||SUP_010|1|1765.4|USD
GRV_CLOTH01_000095|PO_CLOTH01_20240422_DC_01_000222|DC_01|ITM_TOP_0011|53|2024-04-30 00:00:00||SUP_002|1|1061.59|USD
GRV_CLOTH01_000096|PO_CLOTH01_20240422_DC_01_000230|DC_01|ITM_TOP_0019|75|2024-04-30 00:00:00||SUP_010|1|836.25|USD
GRV_CLOTH01_000097|PO_CLOTH01_20240422_DC_01_000232|DC_01|ITM_TOP_0021|68|2024-04-30 00:00:00||SUP_002|1|1039.04|USD
GRV_CLOTH01_000098|PO_CLOTH01_20240422_DC_01_000240|DC_01|ITM_BOT_0029|169|2024-04-30 00:00:00||SUP_010|1|6633.25|USD
GRV_CLOTH01_000099|PO_CLOTH01_20240422_DC_01_000242|DC_01|ITM_BOT_0031|200|2024-04-30 00:00:00||SUP_002|1|5492.0|USD
GRV_CLOTH01_000100|PO_CLOTH01_20240422_DC_01_000247|DC_01|ITM_FOO_0039|9|2024-04-30 00:00:00||SUP_010|1|271.53|USD
GRV_CLOTH01_000101|PO_CLOTH01_20240422_DC_01_000249|DC_01|ITM_OUT_0041|16|2024-04-30 00:00:00||SUP_002|1|944.64|USD
GRV_CLOTH01_000102|PO_CLOTH01_20240415_DC_01_000153|DC_01|ITM_TOP_0019|12|2024-04-30 00:00:00||SUP_010|1|133.8|USD
GRV_CLOTH01_000103|PO_CLOTH01_20240415_DC_01_000155|DC_01|ITM_TOP_0021|15|2024-04-30 00:00:00||SUP_002|1|229.2|USD
GRV_CLOTH01_000104|PO_CLOTH01_20240422_DC_01_000218|DC_01|ITM_BAS_0007|227|2024-05-01 00:00:00||SUP_008|1|1507.28|USD
GRV_CLOTH01_000105|PO_CLOTH01_20240422_DC_01_000228|DC_01|ITM_TOP_0017|73|2024-05-01 00:00:00||SUP_008|1|1716.96|USD
GRV_CLOTH01_000106|PO_CLOTH01_20240422_DC_01_000246|DC_01|ITM_FOO_0037|7|2024-05-01 00:00:00||SUP_008|1|132.44|USD
GRV_CLOTH01_000107|PO_CLOTH01_20240415_DC_01_000145|DC_01|ITM_BAS_0010|156|2024-05-02 00:00:00||SUP_001|1|1188.72|USD
GRV_CLOTH01_000108|PO_CLOTH01_20240415_DC_01_000154|DC_01|ITM_TOP_0020|207|2024-05-02 00:00:00||SUP_001|1|6089.94|USD
GRV_CLOTH01_000109|PO_CLOTH01_20240415_DC_01_000164|DC_01|ITM_BOT_0030|79|2024-05-02 00:00:00||SUP_001|1|1785.4|USD
GRV_CLOTH01_000110|PO_CLOTH01_20240415_DC_01_000172|DC_01|ITM_FOO_0040|1|2024-05-02 00:00:00||SUP_001|1|20.49|USD
GRV_CLOTH01_000111|PO_CLOTH01_20240415_DC_01_000137|DC_01|ITM_BAS_0002|52|2024-05-02 00:00:00||SUP_003|1|482.04|USD
GRV_CLOTH01_000112|PO_CLOTH01_20240422_DC_01_000216|DC_01|ITM_BAS_0005|332|2024-05-02 00:00:00||SUP_006|1|1128.8|USD
GRV_CLOTH01_000113|PO_CLOTH01_20240422_DC_01_000217|DC_01|ITM_BAS_0006|341|2024-05-02 00:00:00||SUP_007|1|1599.29|USD
GRV_CLOTH01_000114|PO_CLOTH01_20240422_DC_01_000226|DC_01|ITM_TOP_0015|125|2024-05-02 00:00:00||SUP_006|1|968.75|USD
GRV_CLOTH01_000115|PO_CLOTH01_20240422_DC_01_000236|DC_01|ITM_BOT_0025|183|2024-05-02 00:00:00||SUP_006|1|5288.7|USD
GRV_CLOTH01_000116|PO_CLOTH01_20240422_DC_01_000237|DC_01|ITM_BOT_0026|23|2024-05-02 00:00:00||SUP_007|1|795.8|USD
GRV_CLOTH01_000117|PO_CLOTH01_20240422_DC_01_000244|DC_01|ITM_FOO_0035|128|2024-05-02 00:00:00||SUP_006|1|5564.16|USD
GRV_CLOTH01_000118|PO_CLOTH01_20240422_DC_01_000245|DC_01|ITM_FOO_0036|30|2024-05-02 00:00:00||SUP_007|1|1480.5|USD
GRV_CLOTH01_000119|PO_CLOTH01_20240422_DC_01_000251|DC_01|ITM_OUT_0045|49|2024-05-02 00:00:00||SUP_006|1|3533.88|USD
GRV_CLOTH01_000120|PO_CLOTH01_20240408_DC_01_000079|DC_01|ITM_BOT_0023|9|2024-05-02 00:00:00||SUP_004|1|132.39|USD
GRV_CLOTH01_000121|PO_CLOTH01_20240415_DC_01_000173|DC_01|ITM_OUT_0041|2|2024-05-02 00:00:00||SUP_002|1|118.08|USD
GRV_CLOTH01_000122|PO_CLOTH01_20240415_DC_01_000143|DC_01|ITM_BAS_0008|622|2024-05-03 00:00:00||SUP_009|1|2102.36|USD
GRV_CLOTH01_000123|PO_CLOTH01_20240415_DC_01_000152|DC_01|ITM_TOP_0018|109|2024-05-03 00:00:00||SUP_009|1|1674.24|USD
GRV_CLOTH01_000124|PO_CLOTH01_20240415_DC_01_000157|DC_01|ITM_BOT_0023|341|2024-05-03 00:00:00||SUP_004|1|5016.11|USD
GRV_CLOTH01_000125|PO_CLOTH01_20240415_DC_01_000162|DC_01|ITM_BOT_0028|334|2024-05-03 00:00:00||SUP_009|1|9024.68|USD
GRV_CLOTH01_000126|PO_CLOTH01_20240415_DC_01_000167|DC_01|ITM_FOO_0033|47|2024-05-03 00:00:00||SUP_004|1|2132.86|USD
GRV_CLOTH01_000127|PO_CLOTH01_20240415_DC_01_000176|DC_01|ITM_ACC_0048|12|2024-05-03 00:00:00||SUP_009|1|98.04|USD
GRV_CLOTH01_000128|PO_CLOTH01_20240422_DC_01_000215|DC_01|ITM_BAS_0004|181|2024-05-03 00:00:00||SUP_005|1|1098.67|USD
GRV_CLOTH01_000129|PO_CLOTH01_20240422_DC_01_000235|DC_01|ITM_BOT_0024|127|2024-05-03 00:00:00||SUP_005|1|4537.71|USD
GRV_CLOTH01_000130|PO_CLOTH01_20240422_DC_01_000233|DC_01|ITM_TOP_0022|62|2024-05-04 00:00:00||SUP_003|1|602.02|USD
GRV_CLOTH01_000131|PO_CLOTH01_20240422_DC_01_000243|DC_01|ITM_BOT_0032|182|2024-05-04 00:00:00||SUP_003|1|6410.04|USD
GRV_CLOTH01_000132|PO_CLOTH01_20240415_DC_01_000171|DC_01|ITM_FOO_0038|19|2024-05-04 00:00:00||SUP_009|1|519.27|USD
GRV_CLOTH01_000133|PO_CLOTH01_20240422_DC_01_000238|DC_01|ITM_BOT_0027|258|2024-05-05 00:00:00||SUP_008|1|8366.94|USD
GRV_CLOTH01_000134|PO_CLOTH01_20240422_DC_01_000225|DC_01|ITM_TOP_0014|88|2024-05-05 00:00:00||SUP_005|1|2293.28|USD
GRV_CLOTH01_000135|PO_CLOTH01_20240429_DC_01_000289|DC_01|ITM_BAS_0002|424|2024-05-06 00:00:00||SUP_003|1|3930.48|USD
GRV_CLOTH01_000136|PO_CLOTH01_20240429_DC_01_000299|DC_01|ITM_TOP_0012|126|2024-05-06 00:00:00||SUP_003|1|1591.38|USD
GRV_CLOTH01_000137|PO_CLOTH01_20240429_DC_01_000309|DC_01|ITM_TOP_0022|258|2024-05-06 00:00:00||SUP_003|1|2505.18|USD
GRV_CLOTH01_000138|PO_CLOTH01_20240429_DC_01_000319|DC_01|ITM_BOT_0032|168|2024-05-06 00:00:00||SUP_003|1|5916.96|USD
GRV_CLOTH01_000139|PO_CLOTH01_20240429_DC_01_000288|DC_01|ITM_BAS_0001|426|2024-05-07 00:00:00||SUP_002|1|3322.8|USD
GRV_CLOTH01_000140|PO_CLOTH01_20240429_DC_01_000298|DC_01|ITM_TOP_0011|47|2024-05-07 00:00:00||SUP_002|1|941.41|USD
GRV_CLOTH01_000141|PO_CLOTH01_20240429_DC_01_000306|DC_01|ITM_TOP_0019|131|2024-05-07 00:00:00||SUP_010|1|1460.65|USD
GRV_CLOTH01_000142|PO_CLOTH01_20240429_DC_01_000308|DC_01|ITM_TOP_0021|105|2024-05-07 00:00:00||SUP_002|1|1604.4|USD
GRV_CLOTH01_000143|PO_CLOTH01_20240429_DC_01_000316|DC_01|ITM_BOT_0029|151|2024-05-07 00:00:00||SUP_010|1|5926.75|USD
GRV_CLOTH01_000144|PO_CLOTH01_20240429_DC_01_000318|DC_01|ITM_BOT_0031|104|2024-05-07 00:00:00||SUP_002|1|2855.84|USD
GRV_CLOTH01_000145|PO_CLOTH01_20240429_DC_01_000328|DC_01|ITM_OUT_0041|10|2024-05-07 00:00:00||SUP_002|1|590.4|USD
GRV_CLOTH01_000146|PO_CLOTH01_20240429_DC_01_000294|DC_01|ITM_BAS_0007|435|2024-05-08 00:00:00||SUP_008|1|2888.4|USD
GRV_CLOTH01_000147|PO_CLOTH01_20240429_DC_01_000304|DC_01|ITM_TOP_0017|89|2024-05-08 00:00:00||SUP_008|1|2093.28|USD
GRV_CLOTH01_000148|PO_CLOTH01_20240429_DC_01_000314|DC_01|ITM_BOT_0027|158|2024-05-08 00:00:00||SUP_008|1|5123.94|USD
GRV_CLOTH01_000149|PO_CLOTH01_20240429_DC_01_000324|DC_01|ITM_FOO_0037|16|2024-05-08 00:00:00||SUP_008|1|302.72|USD
GRV_CLOTH01_000150|PO_CLOTH01_20240422_DC_01_000218|DC_01|ITM_BAS_0007|93|2024-05-08 00:00:00||SUP_008|1|617.52|USD
GRV_CLOTH01_000151|PO_CLOTH01_20240422_DC_01_000231|DC_01|ITM_TOP_0020|154|2024-05-09 00:00:00||SUP_001|1|4530.68|USD
GRV_CLOTH01_000152|PO_CLOTH01_20240422_DC_01_000241|DC_01|ITM_BOT_0030|210|2024-05-09 00:00:00||SUP_001|1|4746.0|USD
GRV_CLOTH01_000153|PO_CLOTH01_20240422_DC_01_000248|DC_01|ITM_FOO_0040|2|2024-05-09 00:00:00||SUP_001|1|40.98|USD
GRV_CLOTH01_000154|PO_CLOTH01_20240429_DC_01_000292|DC_01|ITM_BAS_0005|360|2024-05-09 00:00:00||SUP_006|1|1224.0|USD
GRV_CLOTH01_000155|PO_CLOTH01_20240429_DC_01_000293|DC_01|ITM_BAS_0006|364|2024-05-09 00:00:00||SUP_007|1|1707.16|USD
GRV_CLOTH01_000156|PO_CLOTH01_20240429_DC_01_000302|DC_01|ITM_TOP_0015|101|2024-05-09 00:00:00||SUP_006|1|782.75|USD
GRV_CLOTH01_000157|PO_CLOTH01_20240429_DC_01_000303|DC_01|ITM_TOP_0016|200|2024-05-09 00:00:00||SUP_007|1|5194.0|USD
GRV_CLOTH01_000158|PO_CLOTH01_20240429_DC_01_000313|DC_01|ITM_BOT_0026|67|2024-05-09 00:00:00||SUP_007|1|2318.2|USD
GRV_CLOTH01_000159|PO_CLOTH01_20240429_DC_01_000322|DC_01|ITM_FOO_0035|164|2024-05-09 00:00:00||SUP_006|1|7129.08|USD
GRV_CLOTH01_000160|PO_CLOTH01_20240429_DC_01_000323|DC_01|ITM_FOO_0036|35|2024-05-09 00:00:00||SUP_007|1|1727.25|USD
GRV_CLOTH01_000161|PO_CLOTH01_20240429_DC_01_000331|DC_01|ITM_OUT_0045|31|2024-05-09 00:00:00||SUP_006|1|2235.72|USD
GRV_CLOTH01_000162|PO_CLOTH01_20240422_DC_01_000227|DC_01|ITM_TOP_0016|244|2024-05-09 00:00:00||SUP_007|1|6336.68|USD
GRV_CLOTH01_000163|PO_CLOTH01_20240429_DC_01_000326|DC_01|ITM_FOO_0039|19|2024-05-09 00:00:00||SUP_010|1|573.23|USD
GRV_CLOTH01_000164|PO_CLOTH01_20240422_DC_01_000214|DC_01|ITM_BAS_0003|368|2024-05-10 00:00:00||SUP_004|1|1394.72|USD
GRV_CLOTH01_000165|PO_CLOTH01_20240422_DC_01_000219|DC_01|ITM_BAS_0008|302|2024-05-10 00:00:00||SUP_009|1|1020.76|USD
GRV_CLOTH01_000166|PO_CLOTH01_20240422_DC_01_000224|DC_01|ITM_TOP_0013|56|2024-05-10 00:00:00||SUP_004|1|1178.24|USD
